Country,Date,Time,Year,Site,Cluster,Plot,Latitude,Longitude,Altitude,Accuracy,Photo,SlopeDn,SlopeUp,MajLform,LformDes,PosTopoSeq,ArtSurface,VegCovLT40,PlotFlood,PlotCultMgd,Trees,Shrubs,Graminoids,Forbs,VegOther,Broadleaf,Needleleaf,Evergreen,Deciduous,WdCovRate1,WdCovRate2,WdCovRate3,WdCovRate4,HerbCovRate1,HerbCovRate2,HerbCovRate3,HerbCovRate4,HerbHeight,HerbAnnual,VegStrataDescr,SameLanduse90,LandOwnership,UseFoodBeverage,UseForage,UseTimberFuelwood,UseOther,LandUseHistory,RockCover1,RockCover2,RockCover3,RockCover4,Erosion1,Erosion2,Erosion3,Erosion4,SoilConservation,SWCStructures,SWCDescr,AugDepth1,AugDepth2,AugDepth3,AugDepth4,ShSuPlDe1,ShSuPlDe2,ShSuPlDe3,ShSuPlDe4,TrSuPlDe1,TrSuPlDe2,TrSuPlDe3,TrSuPlDe4,VegStructure,VegStructureOtherDescr,ImpactTreeCutting,ImpactAgric,ImpactGrazing,ImpactFire,ImpactUrban,ImpactIndustry,ImpactErosion,ImpactAlienVeg,ImpactCollecting,ImpactOther,ImpactOtherDescr,Notes,KEY,notes1,notes2,dom_landuse,other_landuse,rangel_data
Eswatini,"Sep 14, 2020",3:8:00 AM,2020,Hosea,10,13,-27.1754,31.5014,571.7,5,media/1600070947641.jpg,9,6,sloping,mededium_gradient_mountain,midslope,,no,no,no,yes,no,no,yes,no,yes,no,yes,yes,5,5,5,5,5,5,5,5,03to08,yes,The plot is dominated by acacia and Dichrostachys vegetation,yes,communal,no,no,no,no,Virgin land,over40,over40,over40,over40,sheet,sheet,sheet,sheet,,0,none,10,10,12,13,0,0,0,0,3,5,4,4,woodland,,0,0,0,0,0,0,1,0,0,0,,,uuid:c417fce3-2215-493a-b26d-1c564f84e270,CM=20,,other,Woodland,no
Eswatini,"Sep 16, 2020",3:57:00 AM,2020,Hosea,10,15,-27.171,31.4964,582.5,5,media/1600246679610.jpg,12,2,sloping,medium_gradient_hill,midslope,,no,no,no,no,no,yes,yes,,no,no,no,no,0,0,0,0,3,3,3,4,03to08,yes,This plot is characterized of grasses averaging 0.3-0.8m.,yes,communal,no,yes,no,,This is virgin land,under5,under5,under5,under5,rill,rill,rill,sheet,,0,none,32,26,35,29,0,0,0,0,0,0,0,0,grassland,,0,0,1,0,1,0,1,0,0,,,,QO88TQ8MP1JCN8X164601KQ85,CM:20-50,,pasture_rangeland,,no
Eswatini,"Sep 16, 2020",4:30:00 AM,2020,Hosea,10,2,-27.1699,31.4945,589.8,5,media/1600248696444.jpg,9,2,sloping,medium_gradient_hill,upland,,no,no,no,no,no,yes,yes,,no,no,no,no,0,0,0,0,2,2,5,4,03to30,yes,The plot is covered with grasses of 0.3-3.0M height. There are also a few herbaceous plants,no,communal,no,yes,no,,"The plot was a cropland, last cultivated about 4 years ago. It has since transformed into a grassland",under5,under5,under5,under5,none,none,none,sheet,,1,struc veg,50,50,50,50,0,0,0,0,0,0,0,0,grassland,,0,0,1,0,0,0,0,0,0,,,,CJ2BVW5T1CY11V2AZZQIEHSC2,CM:20-50(50),,pasture_rangeland,,yes
Eswatini,"Sep 14, 2020",2:34:00 AM,2020,Hosea,10,3,-27.172,31.5021,617.8,5,media/1600068932565.jpg,11,8,sloping,low_gradient_mountain,midslope,,no,no,no,yes,yes,no,yes,no,yes,no,yes,yes,5,5,5,5,4,4,5,5,03to08,yes,Plot has densely populated trees and shrubs,yes,communal,no,no,no,no,Virgin land,over40,over40,over40,over40,sheet,sheet,rill,sheet,,0,none,20,20,18,12,2,0,0,0,4,4,4,5,thicket,,0,0,1,0,0,0,1,0,0,0,,,uuid:33273527-9e2f-419b-bf22-7d84122903ee,CM=20,,other,Thicket,no
Eswatini,"Sep 16, 2020",4:15:00 AM,2020,Hosea,10,4,-27.1705,31.4954,589.6,4,media/1600247798371.jpg,10,2,sloping,medium_gradient_hill,midslope,,no,no,no,no,yes,yes,yes,,yes,no,no,no,1,1,1,1,1,1,1,1,03to08,yes,"This plot is mainly covered with grasses all over the plot, 0.3-0.8m .",yes,communal,no,yes,no,,This is a virgin land.,under5,under5,under5,under5,none,none,none,none,,0,none,18,40,25,45,0,1,0,0,0,0,0,0,grassland,,0,0,1,0,0,0,0,0,0,,,,IOY3A4OH7E98SNQD2EP5B4TVM,CM:0-20(20),,pasture_rangeland,,yes
Eswatini,"Sep 16, 2020",3:35:00 AM,2020,Hosea,10,5,-27.1713,31.4977,595.5,5,media/1600245348227.jpg,12,2,sloping,medium_gradient_hill,midslope,,no,no,no,no,no,yes,yes,,yes,yes,yes,yes,3,3,3,3,4,4,4,4,03to30,yes,"The plot has trees, shrubs, as well as grasses averaging 0.3-3.0m. It also has Dichrostachys cinerea subsp. nyassana (Umzilazembe) shrublets",no,communal,no,yes,no,,This used to be a cropland 10years ago where maize was monocropped. Intercropping and crop rotation was not practiced.,5-40,5-40,5-40,5-40,sheet,sheet,sheet,sheet,,2,struc,17,18,20,20,0,0,0,0,0,0,0,0,wooded_grassland,,0,0,1,0,0,0,1,1,0,,,,Q0QX89PGYX884U9SKC3E0L2FN,CM:0-20 (17),,pasture_rangeland,,no
Eswatini,"Sep 16, 2020",3:12:00 AM,2020,Hosea,10,6,-27.1695,31.4983,601.1,4,media/1600244024950.jpg,10,1,sloping,medium_gradient_hill,midslope,,no,no,no,no,yes,yes,yes,,no,yes,yes,no,2,1,0,0,5,5,5,5,003to03,yes,"This plot is a grassland. There are shrubs of umsutane, sihlangu and umzilazembe.",yes,communal,no,yes,no,,This plot was a cropland about 2 years ago. Fallowing was practised and inorganic and organic fertilizers were used. Only maize was cultivated.,under5,under5,under5,under5,rill,rill,sheet,sheet,,1,struc,44,45,50,47,2,1,2,1,0,0,0,0,grassland,,0,0,1,0,0,0,0,1,0,,,,3N8BHJ7XNY372M2OWG166RCRD,Cm: 20-50(50) Rangeland and Infiltration was done.,,pasture_rangeland,,yes
Eswatini,"Sep 14, 2020",2:41:00 AM,2020,Hosea,10,9,-27.1728,31.5016,612.5,8,media/1600069313321.jpg,11,7,sloping,low_gradient_hill,midslope,,no,no,no,yes,yes,no,no,no,yes,no,yes,yes,5,5,5,5,4,4,4,4,03to08,yes,Trees and shrubs are closely spaced.Trees have an average height of 7metres.,yes,communal,no,no,no,no,Virgin land,over40,over40,over40,over40,sheet,sheet,sheet,sheet,,0,none,18,15,15,17,4,4,3,3,4,3,4,5,bushland,,0,0,0,0,0,0,1,1,0,0,,,uuid:fc4bf9d6-3aaf-4174-abac-0d6589467f2f,CM=20,,other,Bushland,no
Eswatini,"Sep 10, 2020",3:55:00 AM,2020,Hosea,11,1,-27.1489,31.495,546.5,5,media/1599728258341.jpg,18,3,sloping,medium_gradient_hill,midslope,,no,no,no,no,no,yes,yes,,yes,yes,no,no,2,2,1,1,1,2,2,1,03to30,yes,"This is a cropland where vegetables are grown for the past 20 years. There's mulch, organic fertilizer is applied and crop rotation is practised.",yes,communal,yes,no,no,,This plot has been a cropland for 20 years.,under5,under5,under5,under5,sheet,sheet,sheet,sheet,,1,struc,28,41,30,35,0,0,0,0,0,0,0,0,cropland,,0,2,0,0,2,0,0,1,0,,,,HFW9X1ZUH1LRPNVDZSGOY78SF,Cm: 20-50(30) This plot was shifted 7m from its original position due to the fact that it was in a yard.,,pasture_rangeland,,no
Eswatini,"Sep 17, 2020",4:19:00 AM,2020,Hosea,11,14,-27.1489,31.4905,519.4,8,media/1600334394834.jpg,16,8,sloping,mountainous_highland,midslope,,no,no,no,no,yes,no,yes,no,yes,no,yes,no,4,4,4,4,4,4,4,4,03to08,yes,Gymnospora species are dominating this plot.,yes,communal,no,yes,no,no,Virgin land,under5,under5,under5,under5,sheet,sheet,sheet,sheet,,0,none,20,20,20,20,4,3,3,4,0,0,0,0,shrubland,,0,0,2,0,0,0,0,0,0,0,,,uuid:4dbdea72-4fa8-466d-ae77-1573e5794a81,Cm=20,,other,Shrubland,no
Eswatini,"Sep 10, 2020",3:28:00 AM,2020,Hosea,11,15,-27.1499,31.4954,542.5,5,media/1599726547097.jpg,13,3,sloping,medium_gradient_hill,midslope,,no,no,yes,no,no,yes,yes,,no,no,yes,no,3,3,1,1,4,4,5,5,03to08,yes,This plot is a cropland it has been cultivated for over 20 yrs .grasses averaging between 0.3-0.8m.,yes,communal,yes,yes,no,,This plot has been used for cultivation of Maize.intercropping have practised and crop rotation inorganic fertilizer has been used.,under5,under5,under5,under5,sheet,sheet,sheet,sheet,,2,struc,30,20,44,37,0,0,0,0,0,0,0,0,cropland,,0,2,1,0,2,1,1,1,0,,,,I9U01Y8S4TLDWJYFDS5KIQHWT,CM:20-50(44),,annual_crop,,no
Eswatini,"Sep 10, 2020",2:26:00 AM,2020,Hosea,11,2,-27.1539,31.4927,541.2,5,media/1599722849537.jpg,12,4,sloping,low_gradient_hill,midslope,,no,no,yes,yes,yes,yes,yes,no,yes,no,yes,yes,2,1,1,1,3,3,3,3,03to08,yes,This plot mostly has grasses averaging 0.3-0.8m high and has woody low lying plants. There are trees and shrubs on the contour in subplot 1,no,communal,yes,yes,no,,"Maize, lijoti,emaselwa and pumpkin are grown.intercropping is practised. No crop rotation, inorganic fertilizer is used, fallowing practised last season",under5,under5,under5,under5,sheet,sheet,sheet,sheet,,1,struc,30,30,35,30,1,0,0,0,2,0,0,0,freshwater_aquatic,,0,2,1,0,0,0,1,1,0,0,,,KLS0KMI3A3OF2QJTCCI0B6CTP,Cm:20-50(45),,annual_crop,,no
Eswatini,"Sep 17, 2020",4:10:00 AM,2020,Hosea,11,4,-27.1492,31.4877,528.8,7,media/1600333882761.jpg,15,10,sloping,mountainous_highland,midslope,,no,no,no,no,no,no,no,no,no,no,no,no,2,2,2,2,2,2,2,2,03to08,yes,"This plot has no trees and shrubs,it has a rangeland.",yes,communal,no,yes,no,no,Virgin land,5-40,5-40,5-40,5-40,rill,sheet,rill,sheet,,0,none,18,20,17,19,0,0,0,0,0,0,0,0,grassland,,0,0,1,0,0,0,1,0,0,0,,,uuid:a0aee595-8058-4465-a8be-1fd751461d01,Cm=20,,pasture_rangeland,,yes
Eswatini,"Sep 17, 2020",3:41:00 AM,2020,Hosea,11,5,-27.1528,31.4884,562,9,media/1600332133094.jpg,12,6,sloping,mountainous_highland,midslope,,no,no,no,no,no,no,no,no,no,no,no,no,0,0,0,0,5,5,5,5,003to03,yes,No trees and shrubs.,yes,communal,no,yes,no,no,Land is used to produce maize it is fallow due to unpredictable weather.,under5,under5,under5,under5,sheet,sheet,sheet,sheet,,0,none,45,50,63,45,0,0,0,0,0,0,0,0,cropland,,0,1,1,0,0,0,1,0,0,0,,,uuid:5c14c79a-a4d1-4db1-83c4-7f7a9808ad6b,Cm=50,,annual_crop,,no
Eswatini,"Sep 10, 2020",2:33:00 AM,2020,Hosea,11,6,-27.1543,31.4935,561.3,5,media/1599723273452.jpg,12,6,sloping,medium_gradient_hill,midslope,,no,no,yes,no,no,yes,yes,,yes,no,yes,yes,1,1,1,1,2,2,2,2,03to08,yes,There are maize stalks lying on the ground with a few grasses of  0.3-0.8m,yes,communal,yes,yes,no,,"This has been a cropland for over 30 year's. Maize is the only crop cultivated. Artificial fertilizer is used. No crop rotation, no intercropping no fallowing.",under5,under5,under5,under5,sheet,sheet,sheet,sheet,,3,veg struc,50,50,45,40,0,0,0,0,0,0,0,0,cropland,,0,3,1,0,0,0,1,0,0,,,,WLND754WLTB8NZ67USOCF9UPL,CM:20-50(45),,annual_crop,,no
Eswatini,"Sep 17, 2020",3:50:00 AM,2020,Hosea,11,7,-27.1515,31.4873,566.3,8,media/1600332671507.jpg,14,8,sloping,mountainous_highland,midslope,,yes,no,no,no,no,no,no,no,no,no,no,no,0,0,0,0,2,2,2,2,003to03,yes,No trees and shrubs,yes,communal,no,yes,no,no,Maize field no organic fertiliser used,under5,under5,under5,under5,sheet,sheet,rill,sheet,,0,none,40,45,50,40,0,0,0,0,0,0,0,0,cropland,,0,2,1,0,1,0,1,0,0,0,,,uuid:6e3f278d-3f2a-4196-aa87-60736d055464,Cm=35,,annual_crop,,no
Eswatini,"Sep 10, 2020",3:2:00 AM,2020,Hosea,11,8,-27.1519,31.4951,533.9,5,media/1599725017526.jpg,11,3,sloping,medium_gradient_hill,midslope,,no,no,no,yes,yes,yes,yes,,yes,yes,yes,yes,3,3,3,3,2,2,2,2,03to08,yes,"Plot characterized of trees, shrubs and shrublets with low lying grasses covering the plot.",yes,communal,no,yes,no,,Virgin land,under5,under5,under5,under5,rill,rill,rill,rill,,0,none,35,25,30,33,2,1,2,1,2,0,0,1,wooded_grassland,,1,0,1,0,0,0,1,1,0,,,,RZ2TD5TPH4WNUC7WLYIHPXSQ1,CM: 20-50 (40),,pasture_rangeland,,no
Eswatini,"Sep 17, 2020",4:2:00 AM,2020,Hosea,11,9,-27.1497,31.4873,532.7,9,media/1600333392015.jpg,12,6,sloping,mountainous_highland,midslope,,no,no,no,no,yes,no,no,no,no,yes,no,no,2,2,2,2,3,3,3,3,03to30,yes,This plot consists of shrubs only...,yes,communal,no,yes,no,no,Virgin land,over40,over40,over40,over40,rill,sheet,sheet,sheet,,0,none,18,12,20,20,3,3,1,2,0,0,0,0,shrubland,,0,0,1,0,0,0,0,0,0,0,,,uuid:8c733a1d-d4ed-400e-a3d5-5db65183abbb,Cm=20,,pasture_rangeland,,no
Eswatini,"Sep 29, 2020",5:42:00 AM,2020,Hosea,12,1,-27.125,31.4953,547.1,14,media/1601376196329.jpg,12,6,sloping,low_gradient_hill,midslope,,yes,no,no,no,no,no,yes,no,no,no,no,no,0,0,0,0,4,4,4,4,003to03,yes,No trees and shrubs,yes,communal,no,yes,no,no,Maize is produced on this land no fertiliser is used.,under5,under5,under5,under5,sheet,sheet,sheet,sheet,,2,struc,60,55,63,67,0,0,0,0,0,0,0,0,cropland,,0,1,2,0,0,0,1,0,0,0,,,uuid:7c42cc0f-07aa-4d9b-b3b6-7f6a70021fa3,Cm=70,,annual_crop,,no
Eswatini,"Sep 14, 2020",3:34:00 AM,2020,Hosea,12,10,-27.1269,31.4921,547.2,4,media/1600072528611.jpg,11,2,sloping,medium_gradient_hill,bottomland,,no,no,yes,no,no,yes,yes,,no,no,no,no,0,0,0,0,0,0,0,0,03to08,yes,This plot is a cropland used for cultivating maize.,yes,communal,no,yes,no,,"This plot is used for cultivating maize, it had been cultivated for over 30years . intercropping is being practiced. Crop rotation too. Organic fertilizer is used.",under5,under5,under5,under5,none,none,none,none,,1,struc,35,31,28,25,0,0,0,0,0,0,0,0,cropland,,0,3,1,0,1,0,0,0,0,,,,YAL1QK1WA9XRHVO3AYP63K9OY,CM: 20-50 (33),,annual_crop,,no
Eswatini,"Sep 14, 2020",2:51:00 AM,2020,Hosea,12,11,-27.1296,31.4928,539.5,5,media/1600069896044.jpg,8,2,sloping,medium_gradient_hill,midslope,,no,no,yes,no,no,yes,yes,,yes,yes,no,yes,1,1,1,1,3,4,4,4,03to08,yes,This plot consists of mainly herb plants.maize is grown,yes,communal,yes,yes,no,,"It has been a cropland for over 17years.monocropping is practised, organic manure is applied",under5,under5,under5,under5,sheet,sheet,sheet,sheet,,1,struc,20,20,20,20,0,0,0,0,0,0,0,0,cropland,,0,2,1,0,0,0,1,0,0,0,,,H6OMKI4BQ7J53RCFG8QUWL2GO,Cm:0-20(20),,annual_crop,,no
Eswatini,"Sep 14, 2020",3:0:00 AM,2020,Hosea,12,12,-27.1281,31.4945,545.7,5,media/1600070473049.jpg,12,4,sloping,medium_gradient_hill,upland,,no,no,no,no,yes,yes,yes,,no,yes,yes,yes,3,3,4,4,5,5,5,5,03to30,yes,"This plot is a shrubland covered with shrubs of Lantana camara, Imbondvo and aloe. Grasses are averaging between 0.3-3.0 M",yes,communal,no,yes,no,,Virgin land,5-40,5-40,5-40,5-40,sheet,sheet,sheet,sheet,,0,none,10,15,15,12,2,1,2,3,0,0,0,0,shrubland,,0,0,0,0,0,0,1,1,0,,,,C9AXEYGV20Y1LYW8KGZD50JOV,CM:0-20(12),,pasture_rangeland,,yes
Eswatini,"Sep 29, 2020",5:30:00 AM,2020,Hosea,12,14,-27.1264,31.4949,544.2,8,media/1601375500207.jpg,10,6,sloping,low_gradient_hill,midslope,,yes,no,no,no,no,no,yes,no,no,no,no,no,0,0,0,0,4,4,4,4,03to08,yes,No trees and shrubs,yes,communal,no,yes,no,no,Plot is maize field that has been abundened for the past 2 years.,5-40,5-40,5-40,5-40,sheet,sheet,sheet,sheet,,2,struc,50,50,45,40,0,0,0,0,0,0,0,0,cropland,,0,1,2,0,0,0,1,0,0,0,,,uuid:c1facff3-98a8-4f10-a594-752f5795e616,Cm=50,,annual_crop,,no
Eswatini,"Sep 29, 2020",5:56:00 AM,2020,Hosea,12,15,-27.1254,31.4989,522.1,13,media/1601377022670.jpg,12,8,sloping,low_gradient_hill,midslope,,no,no,no,no,no,no,yes,no,no,no,no,no,0,0,0,0,4,4,4,4,003to03,yes,No trees and shrubs,yes,communal,no,yes,no,no,This land was a field but has been abandoned due to unpredictable weather,under5,under5,under5,under5,sheet,sheet,sheet,sheet,,2,struc,40,35,30,45,0,0,0,0,0,0,0,0,cropland,,0,1,2,0,0,0,1,0,0,0,,,uuid:078ba255-ac63-4958-8ee8-e30497a168e4,Cm=43,,annual_crop,,no
Eswatini,"Sep 29, 2020",5:7:00 AM,2020,Hosea,12,2,-27.1262,31.4925,559.7,61,media/1601374086249.jpg,14,8,sloping,low_gradient_mountain,midslope,,yes,no,no,no,no,no,yes,no,no,no,no,no,0,0,0,0,4,4,4,4,03to08,yes,No trees and shrubs,yes,communal,no,yes,no,no,This plot is a maize field,under5,under5,under5,under5,sheet,sheet,sheet,sheet,,2,struc,40,35,45,40,0,0,0,0,0,0,0,0,cropland,,0,1,1,0,0,0,1,1,0,0,,,uuid:05e69b77-3a35-4fd8-a151-f363cc883fc0,Cm=50,,annual_crop,,no
Eswatini,"Sep 29, 2020",5:19:00 AM,2020,Hosea,12,3,-27.127,31.4949,539.9,13,media/1601374791244.jpg,12,8,sloping,low_gradient_hill,midslope,,yes,no,no,no,no,no,yes,no,no,no,no,no,0,0,0,0,4,4,4,4,003to03,yes,No trees and shrubs,yes,communal,no,yes,no,no,The land is used primarily for maize production,under5,under5,under5,under5,sheet,sheet,sheet,sheet,,2,struc,45,50,53,43,0,0,0,0,0,0,0,0,cropland,,0,1,2,0,0,0,1,0,0,0,,,uuid:51f5eaa3-bbab-4b7a-82af-1eb18565d973,Cm=30,,annual_crop,,no
