SSN,Country,Site,Cluster,Plot,DepthTop,DepthBottom,Depthcode,Year,SOC,TN,pH,ExBas,ExCa,ExMg,ExK,ExNa,Sand,Clay
wa018940,Eswatini,mafutseni,14,4,0,20,Topsoil,2018,12.0217,1.2308,6.2759,20.1571,12.4765,6.7864,0.7317,0.5082,15.6242,64.948
wa018941,Eswatini,mafutseni,14,6,20,50,Subsoil,2018,6.5454,0.5726,6.2528,6.0606,3.8262,1.8425,0.3145,0.1897,60.902,22.2943
wa018942,Eswatini,mafutseni,14,9,0,20,Topsoil,2018,10.1562,0.8299,6.1731,7.9428,5.1102,2.2132,0.3456,0.183,54.2888,27.4729
wa018943,Eswatini,mafutseni,14,10,0,20,Topsoil,2018,8.725,0.7667,7.1227,15.3532,10.4217,4.0451,0.4551,0.4768,39.9063,41.0638
wa018944,Eswatini,mafutseni,14,10,20,50,Subsoil,2018,5.3986,0.5035,7.9046,16.6904,11.5851,3.9461,0.4324,0.9212,43.0562,40.1471
wa018945,Eswatini,mafutseni,14,11,0,20,Topsoil,2018,15.1971,1.4315,6.2343,12.9036,8.2094,4.1183,0.4832,0.1977,43.1533,35.1505
wa018946,Eswatini,mafutseni,14,13,0,20,Topsoil,2018,7.9614,0.6891,6.4295,8.81,5.8265,2.152,0.3747,0.2185,58.9385,26.4035
wa018947,Eswatini,mafutseni,14,13,20,50,Subsoil,2018,6.5788,0.5288,6.3734,7.1678,4.7238,1.9181,0.3384,0.2079,60.8866,24.9498
wa018948,Eswatini,siphofaneni,2,3,0,20,Topsoil,2019,7.667,0.6613,5.6295,3.7558,2.623,0.8692,0.241,0.1123,69.1354,18.0514
wa018949,Eswatini,siphofaneni,8,5,20,50,Subsoil,2019,4.0278,0.3123,6.276,3.0548,2.0615,0.6971,0.176,0.1201,80.2038,10.0725
wa018950,Eswatini,siphofaneni,10,6,20,50,Subsoil,2019,3.0937,0.2682,6.6409,2.6804,1.8972,0.7303,0.1464,0.3826,81.0034,9.0672
wa018951,Eswatini,siphofaneni,10,9,0,20,Topsoil,2019,5.34,0.4084,5.8648,2.2963,1.3832,0.6491,0.1885,0.0706,73.6244,14.8294
wa018952,Eswatini,siphofaneni,14,4,0,20,Topsoil,2019,16.8046,1.5232,6.1787,12.3892,7.8916,3.461,0.4967,0.17,34.0121,39.7939
wa018953,Eswatini,siphofaneni,14,5,0,20,Topsoil,2019,14.8952,1.462,6.4907,10.9123,7.2093,2.683,0.5009,0.2057,47.195,27.055
wa018954,Eswatini,siphofaneni,14,6,0,20,Topsoil,2019,13.532,1.2439,6.2243,8.6009,5.5095,2.333,0.4608,0.1697,48.6325,27.5878
wa018955,Eswatini,siphofaneni,14,8,0,20,Topsoil,2019,19.147,1.7976,6.3763,13.2748,9.022,3.2335,0.5585,0.1899,38.8036,35.4932
wa018956,Eswatini,siphofaneni,14,10,0,20,Topsoil,2019,18.3409,1.6046,6.2417,11.4777,7.9979,2.8834,0.3977,0.1394,55.0614,23.9138
wa018957,Eswatini,siphofaneni,14,11,0,20,Topsoil,2019,12.4715,1.193,5.4063,5.8127,3.4367,1.9023,0.3578,0.1647,47.085,27.6631
wa018958,Eswatini,siphofaneni,14,13,0,20,Topsoil,2019,10.7648,0.9356,6.4172,11.5376,7.5096,3.0791,0.4914,0.1669,36.9285,41.9754
wa018959,Eswatini,siphofaneni,14,14,0,20,Topsoil,2019,32.4572,3.017,6.3585,25.6625,17.2586,7.0847,0.7457,0.2094,23.7233,45.3701
wa018960,Eswatini,siphofaneni,14,15,0,20,Topsoil,2019,14.6992,1.3937,5.7296,7.0789,4.4086,2.1827,0.3636,0.1818,50.0972,25.7665
wa018961,Eswatini,siphofaneni,15,11,20,50,Subsoil,2019,5.3325,0.4285,6.0515,3.2795,2.4869,0.786,0.2468,0.0803,71.6491,17.2515
wa018962,Eswatini,mafutseni,1,6,0,20,Topsoil,2018,6.1587,0.4859,6.1217,4.6231,2.8932,1.4128,0.2683,0.1598,64.396,21.3378
wa018963,Eswatini,mafutseni,1,6,20,50,Subsoil,2018,10.0247,0.9307,6.1882,8.7009,5.2429,2.4413,0.4597,0.1601,48.1238,29.5691
wa018964,Eswatini,mafutseni,5,1,0,20,Topsoil,2018,8.0552,0.8391,6.9594,14.7694,8.7599,4.1966,0.5162,0.938,41.6239,41.7058
wa018965,Eswatini,mafutseni,5,1,50,60,Subsoil_CM,2018,5.103,0.5936,7.6177,23.8932,14.4578,6.4671,0.6904,3.2224,30.7429,57.9983
wa018966,Eswatini,mafutseni,5,4,0,20,Topsoil,2018,14.8917,1.2732,6.7233,15.1817,10.3692,3.8874,0.4909,0.2189,45.4008,30.8586
wa018967,Eswatini,mafutseni,5,14,0,20,Topsoil,2018,12.3844,1.1534,6.6453,10.683,7.4112,2.45,0.449,0.218,59.4376,22.4685
wa018968,Eswatini,mafutseni,7,1,0,20,Topsoil,2018,10.1994,1.0652,6.9725,18.7819,12.8687,5.12,0.4298,0.2968,38.4146,39.9146
wa018969,Eswatini,mafutseni,7,3,0,20,Topsoil,2018,11.2428,0.9928,6.31,10.1691,6.4384,2.9419,0.4622,0.196,47.817,30.8449
wa018970,Eswatini,mafutseni,7,3,20,50,Subsoil,2018,9.4548,0.8846,6.3621,10.9102,6.8525,3.3273,0.4723,0.2297,46.6404,34.1119
wa018971,Eswatini,mafutseni,7,4,0,13,Topsoil_CM,2018,26.3859,2.4743,6.0056,18.1718,11.2868,5.5453,0.659,0.2088,29.8596,42.3882
wa018972,Eswatini,mafutseni,7,5,0,20,Topsoil,2018,15.8492,1.5278,6.2373,10.9659,7.0273,3.0992,0.4122,0.184,45.7244,30.7378
wa018973,Eswatini,mafutseni,7,5,20,50,Subsoil,2018,14.8539,1.3703,6.2735,11.6836,7.3098,3.5117,0.4445,0.1944,44.7856,32.3676
wa018974,Eswatini,mafutseni,7,9,0,20,Topsoil,2018,32.5339,2.2617,6.9752,34.245,23.8359,8.7446,1.2175,0.5764,12.9731,60.4882
wa018975,Eswatini,mafutseni,7,9,20,50,Subsoil,2018,30.7657,2.1401,6.8986,32.8793,22.9395,8.67,1.2563,0.6322,13.5419,61.0978
wa018976,Eswatini,mafutseni,7,10,0,20,Topsoil,2018,28.5514,2.2835,6.2282,27.8335,19.0777,7.8743,0.8048,0.3738,18.3514,53.2061
wa018977,Eswatini,mafutseni,7,12,0,20,Topsoil,2018,17.4543,1.5556,6.4063,26.5814,17.4444,8.3259,0.9201,0.6167,16.8364,58.5899
wa018978,Eswatini,mafutseni,7,12,20,50,Subsoil,2018,18.2958,1.5975,6.4184,27.1833,17.8178,8.6262,0.9941,0.7176,17.022,59.2427
wa018979,Eswatini,mafutseni,7,13,0,20,Topsoil,2018,30.4173,2.358,6.1175,29.7093,20.4941,8.9678,0.9455,0.5037,13.7907,63.4989
wa018980,Eswatini,mafutseni,7,13,20,50,Subsoil,2018,30.8143,2.2749,6.1983,29.6974,20.5515,8.8682,0.8511,0.3815,12.0259,63.9188
wa018981,Eswatini,mafutseni,7,15,0,20,Topsoil,2018,20.6581,1.7323,6.2139,20.8057,13.143,6.9158,0.6363,0.2633,21.422,54.2038
wa018982,Eswatini,mafutseni,7,15,20,50,Subsoil,2018,18.1618,1.6006,6.2643,19.8022,12.6401,6.7312,0.6906,0.3271,25.1386,57.9963
wa018983,Eswatini,mafutseni,13,13,0,20,Topsoil,2018,9.8436,0.9397,6.334,7.5673,4.599,1.9782,0.481,0.218,57.2378,23.6167
wa018984,Eswatini,mafutseni,14,6,20,50,Subsoil,2018,10.493,1.1378,6.1008,8.6436,5.1718,2.3861,0.434,0.232,51.8033,27.348
wa018985,Eswatini,mafutseni,14,10,0,20,Topsoil,2018,8.4495,0.7739,7.3729,16.507,11.0744,4.2679,0.4675,0.531,39.9838,41.8739
wa018986,Eswatini,mafutseni,14,14,20,50,Subsoil,2018,9.4244,0.9458,6.7962,18.326,11.0703,5.7422,0.7089,1.1537,30.8711,55.5869
wa018987,Eswatini,siphofaneni,3,8,0,20,Topsoil,2019,6.5699,0.6872,5.4355,3.4149,2.2628,1.0206,0.2421,0.1018,66.3855,19.6656
wa018988,Eswatini,siphofaneni,5,13,20,50,Subsoil,2019,5.9647,0.6581,5.4156,2.7755,1.6525,1.0036,0.2216,0.115,70.9104,15.9814
wa018989,Eswatini,siphofaneni,8,4,0,20,Topsoil,2019,8.0806,0.6653,6.0661,5.5227,4.0168,1.3858,0.298,0.1948,60.6218,22.8461
wa018990,Eswatini,siphofaneni,8,8,20,50,Subsoil,2019,3.1334,0.2646,6.1472,2.0649,1.3229,0.5609,0.1625,0.0832,75.554,14.8095
wa018991,Eswatini,siphofaneni,12,2,20,50,Subsoil,2019,21.2133,2.0143,6.7614,28.9851,20.3447,8.2649,0.9562,1.3542,21.2547,52.6371
wa018992,Eswatini,siphofaneni,13,5,0,10,Topsoil_CM,2019,23.4448,2.2527,6.5261,14.0287,10.0484,3.016,0.6811,0.1869,40.7414,31.3494
wa018993,Eswatini,siphofaneni,14,4,0,20,Topsoil,2019,16.2373,1.546,5.8615,10.6033,6.6054,3.0667,0.4727,0.1962,37.0826,35.7175
wa018994,Eswatini,siphofaneni,14,4,0,20,Topsoil,2019,33.0738,2.8487,6.7316,32.6631,22.046,8.2759,0.8603,0.2256,17.4253,53.5072
wa018995,Eswatini,siphofaneni,14,6,0,20,Topsoil,2019,11.5594,1.1807,5.9681,7.5308,4.6902,2.2665,0.4164,0.1958,43.4581,31.8036
wa018996,Eswatini,siphofaneni,14,8,0,20,Topsoil,2019,24.874,2.2748,6.081,12.8642,8.8198,3.016,0.5997,0.1873,36.1222,36.1046
wa018997,Eswatini,siphofaneni,14,10,0,15,Topsoil_CM,2019,14.0503,1.3672,5.832,7.9971,4.9035,2.5115,0.4069,0.1965,50.1336,27.2045
wa018998,Eswatini,siphofaneni,14,11,0,15,Topsoil_CM,2019,15.708,1.3946,5.521,7.139,4.2235,2.3651,0.4263,0.3031,42.5738,31.2634
wa018999,Eswatini,siphofaneni,14,13,0,20,Topsoil,2019,8.5618,0.8036,6.3594,9.0992,5.7384,2.4029,0.4436,0.1746,42.2228,35.9432
wa019000,Eswatini,siphofaneni,14,15,0,8,Topsoil_CM,2019,25.6735,2.4108,5.9283,11.4609,8.0775,2.748,0.5618,0.1938,42.2021,30.2731
wa019001,Eswatini,siphofaneni,15,6,20,50,Subsoil,2019,4.5789,0.3543,6.1329,2.1752,1.2951,0.5768,0.1733,0.079,76.881,11.8424
wa019002,Eswatini,siphofaneni,16,13,20,50,Subsoil,2019,5.256,0.5126,6.2968,7.129,4.3865,2.0255,0.3436,0.1694,54.2827,27.5334
wa019003,Eswatini,siphofaneni,16,11,0,20,Topsoil,2019,9.1251,0.8275,5.8886,3.9741,2.8097,0.9841,0.2951,0.0899,66.1985,19.0743
wa021480,Eswatini,ntondozi,1,2,0,20,Topsoil,2020,13.4658,1.5107,5.4418,5.317,3.4297,1.323,0.4437,0.0738,32.0891,43.2806
wa021481,Eswatini,ntondozi,1,4,0,20,Topsoil,2020,4.3416,0.4478,5.9237,3.2432,1.8912,0.9673,0.2943,0.0988,56.9376,25.3093
wa021482,Eswatini,ntondozi,1,5,0,20,Topsoil,2020,7.4768,0.5799,5.8038,4.0914,2.7216,1.0282,0.2917,0.0926,64.2461,20.9659
wa021483,Eswatini,ntondozi,1,6,0,20,Topsoil,2020,6.3963,0.4918,5.8261,2.6029,1.4936,0.7924,0.2153,0.0902,68.7508,18.6579
wa021484,Eswatini,ntondozi,1,7,0,20,Topsoil,2020,28.9793,2.5266,5.4709,8.3623,5.6374,2.1295,0.6069,0.1336,30.4782,42.8783
wa021485,Eswatini,ntondozi,1,10,0,20,Topsoil,2020,34.9607,3.0724,5.9469,15.413,11.44,2.8359,0.9847,0.1286,31.2849,43.1773
wa021486,Eswatini,ntondozi,1,11,0,20,Topsoil,2020,32.832,2.8385,5.5737,11.6016,8.0775,2.5963,0.7765,0.144,28.4709,45.1721
wa021487,Eswatini,ntondozi,1,12,0,20,Topsoil,2020,21.9946,2.0676,5.5503,9.0751,5.7086,2.4228,0.6985,0.1409,21.6213,56.8132
wa021488,Eswatini,ntondozi,1,14,0,20,Topsoil,2020,4.0395,0.3544,6.1264,2.3476,1.4403,0.7251,0.1642,0.1111,76.8996,12.5509
wa021489,Eswatini,ntondozi,2,1,0,20,Topsoil,2020,26.6379,2.2018,5.0758,4.5923,2.8527,1.274,0.4299,0.1251,11.9799,69.0379
wa021490,Eswatini,ntondozi,2,2,0,20,Topsoil,2020,7.8528,0.7058,5.2859,3.4058,2.0428,1.0113,0.3517,0.0825,35.393,49.1391
wa021491,Eswatini,ntondozi,2,3,0,20,Topsoil,2020,14.3558,1.228,5.6282,6.7336,4.591,1.6091,0.3931,0.1313,45.1013,31.3238
wa021492,Eswatini,ntondozi,2,4,0,20,Topsoil,2020,9.9277,1.0105,5.5536,7.5232,4.3838,2.3154,0.4443,0.1803,27.1371,56.6917
wa021493,Eswatini,ntondozi,2,5,0,20,Topsoil,2020,13.014,1.1722,5.9124,5.3202,3.2943,1.3679,0.6224,0.0562,36.1897,45.2446
wa021494,Eswatini,ntondozi,2,5,20,50,Subsoil,2020,10.0986,0.7477,5.5817,4.0738,2.4981,1.0553,0.517,0.0679,32.5336,51.1032
wa021495,Eswatini,ntondozi,2,14,0,20,Topsoil,2020,11.5852,1.063,5.2277,4.2656,2.6453,1.1457,0.3655,0.0892,29.3252,52.8612
wa021496,Eswatini,ntondozi,2,6,0,20,Topsoil,2020,12.2549,1.0938,5.9153,5.6523,3.7781,1.3096,0.449,0.085,40.9988,39.3464
wa021497,Eswatini,ntondozi,2,8,0,20,Topsoil,2020,9.6817,1.0165,5.5145,6.2537,3.7801,1.7801,0.4283,0.1671,33.8152,45.6539
wa021498,Eswatini,ntondozi,2,11,0,20,Topsoil,2020,14.642,1.3021,5.5613,5.6274,3.8659,1.3977,0.3929,0.084,29.3226,55.1294
wa021499,Eswatini,ntondozi,2,12,0,20,Topsoil,2020,9.7655,0.7587,5.6378,4.1892,2.5184,1.1164,0.4603,0.0823,34.7328,49.9647
wa021500,Eswatini,ntondozi,2,15,0,20,Topsoil,2020,13.7535,1.2758,5.9471,7.417,4.913,1.6606,0.5063,0.1035,36.7475,41.9116
wa021501,Eswatini,ntondozi,3,2,0,20,Topsoil,2020,15.8681,1.3971,5.352,5.9765,3.8361,1.7226,0.3186,0.091,33.0139,38.6916
wa021502,Eswatini,ntondozi,3,8,0,20,Topsoil,2020,5.1554,0.425,6.0445,2.8106,1.8491,0.7452,0.1363,0.1015,72.6512,13.5172
wa021503,Eswatini,ntondozi,3,2,20,50,Subsoil,2020,6.7248,0.4438,5.7345,3.1789,1.97,1.0024,0.1616,0.0772,71.4891,15.4035
wa021504,Eswatini,ntondozi,3,4,0,20,Topsoil,2020,10.6456,1.0087,5.7684,5.551,3.5944,1.4978,0.2891,0.1154,46.0214,30.1494
wa021505,Eswatini,ntondozi,3,7,0,20,Topsoil,2020,8.0297,0.6265,5.8822,4.2887,2.8935,1.0546,0.1783,0.102,61.6704,19.9765
wa021506,Eswatini,ntondozi,3,7,20,50,Subsoil,2020,7.0875,0.5681,5.911,3.9353,2.6337,0.9411,0.1897,0.0974,62.5065,20.7877
wa021507,Eswatini,ntondozi,3,8,20,50,Subsoil,2020,4.1092,0.357,6.1276,2.5691,1.6327,0.7007,0.1362,0.1053,74.0959,14.9525
wa021508,Eswatini,ntondozi,3,9,0,20,Topsoil,2020,4.4935,0.3841,6.0081,2.4706,1.575,0.6302,0.1315,0.097,75.9097,11.8217
wa021509,Eswatini,ntondozi,3,10,0,20,Topsoil,2020,7.3153,0.5834,5.7477,3.8769,2.7656,0.9335,0.2483,0.0882,66.6583,20.6816
wa021510,Eswatini,ntondozi,3,10,20,50,Subsoil,2020,5.6608,0.4473,6.0634,3.4148,2.3554,0.8145,0.2179,0.084,68.6076,19.2515
wa021511,Eswatini,ntondozi,3,11,0,20,Topsoil,2020,5.1776,0.4241,6.0853,2.8334,1.8672,0.7459,0.1375,0.085,72.4124,14.0871
wa021512,Eswatini,ntondozi,3,11,20,50,Subsoil,2020,4.1062,0.3794,6.0915,2.8496,1.9207,0.6964,0.1353,0.0972,71.9149,14.2364
wa021513,Eswatini,ntondozi,3,13,,,"",2020,12.1676,1.2639,5.984,6.1118,4.1441,1.5422,0.3667,0.1403,53.3117,25.0201
wa021514,Eswatini,ntondozi,3,15,0,20,Topsoil,2020,8.2765,0.7352,5.6009,3.6064,2.2489,0.9858,0.233,0.1003,58.7286,23.798
wa021515,Eswatini,ntondozi,4,1,0,20,Topsoil,2020,21.1002,1.8543,6.0273,11.1623,8.5309,2.1915,0.5229,0.1133,31.7186,38.9066
wa021516,Eswatini,ntondozi,4,3,0,20,Topsoil,2020,2.5497,0.3474,5.7133,2.0961,1.1624,0.7993,0.0504,0.0808,71.1572,15.4674
wa021517,Eswatini,ntondozi,4,3,20,50,Subsoil,2020,2.6988,0.3477,5.7995,2.1198,1.1381,0.8241,0.0499,0.0856,76.21,12.7978
wa021518,Eswatini,ntondozi,4,4,0,20,Topsoil,2020,9.6181,0.7881,5.8014,4.532,3.0836,1.1689,0.2717,0.0871,46.4929,29.0732
wa021519,Eswatini,ntondozi,4,5,0,20,Topsoil,2020,28.1195,2.5627,6.2005,13.1947,9.4049,2.6544,0.9825,0.3406,25.0814,52.3421
wa021520,Eswatini,ntondozi,4,5,20,50,Subsoil,2020,28.5665,2.5791,6.2064,12.9516,9.2229,2.5652,0.9618,0.3264,25.0191,50.0958
wa021521,Eswatini,ntondozi,4,6,0,20,Topsoil,2020,3.2034,0.3443,5.817,2.2375,1.3007,0.7367,0.0727,0.0895,73.0838,13.8982
wa021522,Eswatini,ntondozi,4,6,20,50,Subsoil,2020,3.0059,0.3456,5.8067,2.2293,1.2682,0.7446,0.0682,0.0869,73.0843,14.0384
wa021523,Eswatini,ntondozi,4,7,0,20,Topsoil,2020,5.7531,0.4575,6.0241,3.0625,2.1291,0.769,0.1307,0.0888,68.9885,15.5597
wa021524,Eswatini,ntondozi,4,8,0,20,Topsoil,2020,10.1666,0.8966,5.8723,4.4329,3.1291,1.1034,0.2872,0.0865,54.9767,23.8541
wa021525,Eswatini,ntondozi,4,9,0,20,Topsoil,2020,25.8082,2.4284,6.1497,12.985,9.4357,2.5823,0.941,0.1387,24.0993,51.0915
wa021526,Eswatini,ntondozi,4,9,20,50,Subsoil,2020,24.7092,2.358,6.274,12.3064,9.0911,2.4968,0.8858,0.2066,26.8304,49.3684
wa021527,Eswatini,ntondozi,4,11,0,20,Topsoil,2020,23.9658,2.3285,6.2843,11.9567,8.6687,2.422,0.8364,0.1276,30.9863,46.4346
wa021528,Eswatini,ntondozi,4,11,20,50,Subsoil,2020,25.5364,2.4101,6.2538,13.1702,9.5413,2.6178,0.9537,0.2175,26.7428,50.6932
wa021529,Eswatini,ntondozi,4,12,0,20,Topsoil,2020,16.6818,1.6104,5.6108,6.9398,5.0132,1.5716,0.3549,0.0915,30.0249,40.0596
wa021530,Eswatini,ntondozi,5,1,0,20,Topsoil,2020,8.9492,0.8514,5.4056,2.9075,1.6008,0.9855,0.2862,0.1066,21.756,65.1995
wa021531,Eswatini,ntondozi,5,2,0,20,Topsoil,2020,23.7085,1.9737,4.9764,4.1745,2.6705,1.1517,0.3802,0.1383,17.1494,61.6112
wa021532,Eswatini,ntondozi,5,4,0,20,Topsoil,2020,25.3129,2.2271,5.1936,5.2769,3.3236,1.4816,0.4497,0.1245,15.8077,63.6035
wa021533,Eswatini,ntondozi,5,5,0,20,Topsoil,2020,13.3527,1.2562,4.8349,1.5225,0.6167,0.5926,0.1861,0.0786,9.2012,78.6329
wa021534,Eswatini,ntondozi,5,5,20,50,Subsoil,2020,11.7593,1.2192,4.8867,1.5699,0.7189,0.6518,0.1877,0.0684,8.8882,76.9867
wa021535,Eswatini,ntondozi,5,6,0,20,Topsoil,2020,17.095,1.4655,4.9532,2.2524,1.1432,0.7883,0.2076,0.0925,10.921,73.354
wa021536,Eswatini,ntondozi,5,6,20,50,Subsoil,2020,14.1135,1.3041,4.9076,1.7717,0.883,0.6809,0.1946,0.0796,10.1363,75.4754
wa021537,Eswatini,ntondozi,5,7,0,20,Topsoil,2020,23.3011,2.0857,5.2435,5.0233,3.2939,1.3971,0.3957,0.0991,29.2095,45.6475
wa021538,Eswatini,ntondozi,5,8,0,20,Topsoil,2020,15.9408,1.4492,5.2615,4.31,2.5774,1.2022,0.3534,0.1201,30.9171,51.1987
wa021539,Eswatini,ntondozi,5,9,0,20,Topsoil,2020,12.9662,1.16,4.906,1.9466,0.983,0.6647,0.2381,0.0856,16.8045,68.9002
wa021540,Eswatini,ntondozi,5,12,0,20,Topsoil,2020,16.2628,1.3633,4.9738,2.1439,1.0902,0.7732,0.2187,0.0908,15.7944,68.2792
wa021541,Eswatini,ntondozi,5,12,20,50,Subsoil,2020,14.3225,1.2786,4.919,1.9044,0.9138,0.7436,0.2044,0.0848,11.2999,74.0205
wa021542,Eswatini,ntondozi,5,14,0,20,Topsoil,2020,8.8626,0.8669,6.0355,4.002,2.4043,1.2659,0.3422,0.118,18.7639,66.6968
wa021543,Eswatini,ntondozi,5,14,20,50,Subsoil,2020,6.4142,0.6237,5.8398,3.2426,1.9523,1.016,0.2948,0.1058,28.296,59.3777
wa021544,Eswatini,ntondozi,6,1,0,20,Topsoil,2020,13.7727,1.3226,5.7867,5.5539,3.6631,1.4321,0.4701,0.0848,22.5454,59.7157
wa021545,Eswatini,ntondozi,6,4,0,20,Topsoil,2020,5.3449,0.7659,8.2134,35.0314,28.3326,2.7649,0.626,2.1478,25.0408,60.9785
wa021546,Eswatini,ntondozi,6,6,0,20,Topsoil,2020,10.1245,0.9189,5.5855,4.5601,2.9652,1.2246,0.383,0.0745,24.5742,56.6063
wa021547,Eswatini,ntondozi,6,8,0,20,Topsoil,2020,10.5979,0.9732,5.5597,4.679,2.9502,1.2675,0.3802,0.0704,30.2591,50.7576
wa021548,Eswatini,ntondozi,6,9,0,20,Topsoil,2020,11.7603,1.1087,5.3499,4.5037,3.167,1.0575,0.2883,0.069,27.2029,56.138
wa021549,Eswatini,ntondozi,6,11,0,20,Topsoil,2020,8.2241,0.6947,5.7475,4.0052,2.6006,1.069,0.3503,0.0736,47.7439,31.5764
wa021550,Eswatini,ntondozi,6,13,0,20,Topsoil,2020,11.2346,1.0637,5.6282,5.2852,3.2403,1.4327,0.4437,0.0962,18.8133,64.1904
wa021551,Eswatini,ntondozi,7,2,0,20,Topsoil,2020,7.6503,0.6196,5.4353,2.7335,1.9294,0.5867,0.1541,0.0803,65.9346,19.931
wa021552,Eswatini,ntondozi,7,2,20,50,Subsoil,2020,6.7724,0.4837,5.6352,2.6311,1.8492,0.5459,0.1245,0.0808,63.1282,22.6652
wa021553,Eswatini,ntondozi,7,4,0,20,Topsoil,2020,7.7037,0.6098,5.7866,3.8783,2.7911,0.8496,0.2046,0.0794,61.0825,21.9806
wa021554,Eswatini,ntondozi,7,5,0,20,Topsoil,2020,8.925,0.78,5.8667,5.1474,3.8599,1.0416,0.2616,0.0803,52.2336,25.3233
wa021555,Eswatini,ntondozi,7,6,0,20,Topsoil,2020,4.7388,0.4482,5.9175,2.5588,1.7138,0.607,0.1214,0.1001,71.3947,13.8418
wa021556,Eswatini,ntondozi,7,6,20,50,Subsoil,2020,3.5114,0.3529,5.9844,2.2405,1.4711,0.5578,0.1158,0.1179,73.6365,13.7651
wa021557,Eswatini,ntondozi,7,10,0,20,Topsoil,2020,7.5329,0.624,5.9437,4.1221,2.9928,1.0107,0.1619,0.0801,59.0218,21.421
wa021558,Eswatini,ntondozi,7,11,0,20,Topsoil,2020,7.5162,0.6014,5.7026,3.4646,2.4055,0.782,0.1719,0.0842,63.0404,20.1571
wa021559,Eswatini,ntondozi,7,12,0,20,Topsoil,2020,7.0507,0.5798,5.9278,3.5634,2.4451,0.8838,0.1525,0.087,65.4297,19.286
wa021560,Eswatini,ntondozi,7,12,20,50,Subsoil,2020,7.3086,0.6557,5.7039,4.1978,2.9651,0.9198,0.2311,0.082,49.4404,26.7955
wa021561,Eswatini,ntondozi,7,13,0,20,Topsoil,2020,23.1991,1.7099,5.5719,9.8725,6.8892,2.407,0.6075,0.1161,23.1492,57.7135
wa021562,Eswatini,ntondozi,7,13,20,50,Subsoil,2020,23.2406,1.7129,5.578,9.9815,6.9554,2.5117,0.6286,0.1395,20.8215,61.6509
wa021563,Eswatini,ntondozi,7,14,0,20,Topsoil,2020,19.6431,1.6376,5.7705,11.9007,7.9905,3.114,0.6085,0.1693,21.1528,56.9568
wa021564,Eswatini,ntondozi,7,15,0,20,Topsoil,2020,9.9251,0.8414,5.7946,5.386,3.7445,1.2215,0.277,0.0823,44.7328,31.7264
wa021565,Eswatini,ntondozi,8,2,0,20,Topsoil,2020,7.2483,0.6158,5.5611,3.9568,2.6263,0.9688,0.3389,0.0711,39.0729,40.0152
wa021566,Eswatini,ntondozi,8,3,0,20,Topsoil,2020,6.6807,0.544,5.8107,3.1988,1.7022,1.2521,0.0723,0.0848,70.6755,16.6867
